paper_id,doi,title,first_author,year,journal,has_pdf,C1_AI,C1_AI_reason,C2_AI,C2_AI_reason
36,10.1002/oby.70181,Associations of Screen Time and Physical Activity With Body Mass Index in Early Adolescence: A Prospective Cohort Study.,"Nagata, Jason M",2026.0,"Obesity (Silver Spring, Md.)",1,INCLUDE,"Screen time is focal independent variable predicting BMI/overweight-obesity prospectively. ""high screen time (>8h/day) was associated with higher risk of overweight/obesity (RR, 1.09; 95% CI, 1.02–1.16; p=0.013)""",INCLUDE,"Screen time and physical activity report extractable β coefficients for association with body mass index (BMI), a physical health outcome. Satisfies FT-IC2."
67,10.1007/s12519-025-01009-y,Prospective associations between media parenting practices and adolescent video game use.,"Nagata, Jason M",2026.0,World journal of pediatrics : WJP,1,INCLUDE,"Video game use is a focal outcome; media parenting practices are predictors tested prospectively over 1-2 years. ""Higher parental screen time modeling, mealtime screen use and bedroom screen use were associated with higher odds of playing mature-rated video games."" ""Greater screen time limits were associated with lower odds of reporting mature-rated video games (AOR 0.90, 95% CI 0.86, 0.95)."" ""Greater use of screens to control behavior was associated with greater problematic video game use (B 0.03, 95% CI 0.02, 0.05)."" ""Higher mealtime screen use was associated with greater time spent playing video games (B 0.17, 95% CI 0.11, 0.23).""",EXCLUDE,"FT-EC2: Paper tests media parenting practices (predictor) on video game use (screen outcome), not screen media on non-screen outcomes. No extractable screen → non-screen-outcome statistics."
83,10.1016/j.acap.2025.103164,Neighborhood Quality and Screen Use: Findings From the Adolescent Brain Cognitive Development Study.,"Nagata, Jason M",2026.0,Academic pediatrics,0,UNSURE,PDF not obtainable or corrupt file — needs re-download before review.,UNSURE,"No PDF available. Title indicates neighborhood quality predicting screen use (screen as outcome), but abstract is absent. Cannot confirm presence of extractable screen → non-screen-outcome statistics required by FT-IC2."
86,10.1016/j.amepre.2025.108248,"Prospective Associations Between Early Adolescent Problematic Screen Use, Mental Health, Sleep, and Substance Use.","Nagata, Jason M",2026.0,American journal of preventive medicine,1,INCLUDE,"Problematic screen use (SMAQ, VGAQ, MPIQ) is the primary predictor of CBCL mental health, suicidal behaviors, sleep disturbance, and substance initiation. ""Associations between problematic screen use and mental and behavioral health outcomes were determined using either linear or logistic regression analyses."" ""Problematic mobile phone use and social media use were prospectively associated with higher depressive, somatic, attention/deficit, oppositional defiant, and conduct problems scores; suicidal behaviors; sleep disturbance; and substance initiation.""",INCLUDE,"Problematic screen use reports extractable coefficients (β/OR with 95% CIs) for associations with mental health (depression, anxiety), sleep (duration, quality), and substance use outcomes. Satisfies FT-IC2 across multiple non-screen domains."
144,10.1016/j.lana.2026.101454,Associations of adolescent social media use trajectories with spatial and verbal memory: a prospective cohort study.,"Nagata, Jason M",2026.0,Lancet regional health. Americas,1,INCLUDE,"Social media use trajectories predict cognitive performance (LMT, RAVLT). ""Linear regression models estimated the association between social media time trajectories and cognitive functioning at Year 2."" ""High and increasing social media use was associated with lower accuracy on the LMT (B: -0.03; 95% CI: -0.05, -0.01) and lower performance on the RAVLT Initial Trials (B: -1.90; 95% CI: -2.76, -1.04).""",INCLUDE,Social media use trajectories report extractable β coefficients for associations with spatial and verbal memory (cognitive outcome). Satisfies FT-IC2.
150,10.1016/j.neuroimage.2026.121860,Social media use and early adolescent brain structure: Findings from the Adolescent Brain Cognitive Development (ABCD) Study.,"Nagata, Jason M",2026.0,NeuroImage,1,INCLUDE,"Social media use and SMAQ predict brain morphology (cortical thickness, volume). ""We utilized neuroimaging data from the ABCD Study to investigate the association of social media use or social media addiction with brain morphology."" ""higher average daily social media use was significantly associated with lower total cortical thickness and volume."" ""vertexwise analysis identified broad regions with lower cortical thickness across prefrontal, temporal, occipital, and parietal lobes.""",INCLUDE,Social media use reports standardized β coefficients and z-scores with significance levels for associations with cortical thickness and cortical surface area (neural/brain outcomes) across multiple brain regions. Table 2 and Figure 1 provide extractable statistics. Satisfies FT-IC2.
287,10.1111/ajad.70135,"Social media use, smoking expectancies, and nicotine experimentation in early adolescents: A prospective cohort study.","Nagata, Jason M",2026.0,The American journal on addictions,1,INCLUDE,"Social media time is focal predictor of nicotine experimentation with smoking expectancies as mediator. ""Social media time at Year 2 was associated with nicotine experimentation at Year 4."" ""Positive smoking expectancies mediated 5.97% (95% CI: 1.27%-10.67%, p = .013) of the social media-nicotine experimentation association.""",INCLUDE,Social media use reports extractable coefficients (β/OR with 95% CIs) for association with nicotine experimentation (behavioral/substance use outcome). Satisfies FT-IC2.
404,10.1186/s13104-026-07641-9,Dating app use and depression symptoms in adolescents.,"Nagata, Jason M",2026.0,BMC research notes,1,INCLUDE,"Dating app use is a focal predictor of depression symptoms. ""Dating app use was associated with higher depression symptoms (standardized beta coefficient 0.42; 95% CI 0.08-0.76; p=0.017) in adjusted models."" ""In sensitivity analyses...ever use of a dating app was significantly associated with higher depression symptoms (B 0.44; 95% CI 0.03-0.85; p=0.035)."" ""Ever use of a dating app was significantly associated with higher self-reported internalizing symptoms (B 0.66; 95% CI 0.34-0.99; p<0.001).""",INCLUDE,Dating app use reports extractable coefficients (β/OR with confidence intervals) for association with depression symptoms (mental health outcome). Satisfies FT-IC2.
92,10.1016/j.bpsc.2026.03.012,The roles of delayed cortical maturation and lower anticipatory reward activation in predicting addictive screen use in youth.,"Paige, Katie J",2026.0,Biological psychiatry. Cognitive neuroscience and neuroimaging,1,INCLUDE,"Addictive screen use (videogaming, social media, phone) is the outcome predicted by cortical maturation and reward activation. ""lower connectomic maturation at Y0 associated with Y2 higher ASU composite and addictive videogaming."" ""We found a negative association between AFC at Y0 and cross-domains addictive screen use at Y2 (Beta = -.056, CI = [-.083, -.027], p < .001).""",EXCLUDE,"FT-EC2: Paper tests neural risk factors (cortical maturation, reward activation) as predictors of addictive screen use at follow-up (screen as outcome). No extractable screen media → non-screen-outcome statistics; screen use is the dependent variable, not the predictor."
445,10.1556/2006.2025.00094,Situating problematic gaming and psychotic-like experiences in the adolescent landscape of affordances: A cohort study.,"Paquin, Vincent",2026.0,Journal of behavioral addictions,1,INCLUDE,"Problematic gaming is a focal predictor of psychotic-like experiences (PLEs); tests prospective associations and environmental moderators. ""Higher levels of problematic gaming at age 12 were associated with higher levels of PLEs at age 13, independently of sociodemographic variables and previous PLEs."" ""problematic social media use was also associated with PLEs at year 3, independently of problematic gaming and the other covariates."" ""More protective school and family environments at age 12 were associated with lower levels of problematic gaming at age 13.""",INCLUDE,Problematic gaming reports extractable β coefficients with 95% confidence intervals for association with psychotic-like experiences (clinical outcome). Figure 2 provides specific estimates. Satisfies FT-IC2.
149,10.1016/j.neuroimage.2026.121829,Connectome-based prediction of problematic use of social media in adolescents: Findings from the ABCD study.,"Park, Jennifer J",2026.0,NeuroImage,1,INCLUDE,"Problematic social media use (SMAQ) is predicted by resting-state fMRI connectivity via CPM. ""CPM successfully predicted PUSM scores (r = 0.055, p = 0.016)."" ""identified connectivity within multiple large-scale neural networks predictive of PUSM severity: cognitive control/self-regulation system and perceptual-motor integration system.""",INCLUDE,"Uses ABCD Study (U.S., FT-IC1 satisfied). Reports connectome-based predictive modeling with extractable statistics for associations between problematic social media use (screen outcome) and brain connectivity (neural outcome domain). Meets FT-IC2 and FT-IC3."
446,10.1556/2006.2025.00103,Connectome-based predictive modelling of problematic gaming in youth from the ABCD study.,"Park, Jennifer J",2026.0,Journal of behavioral addictions,1,INCLUDE,"Problematic gaming severity is the focal outcome predicted by brain functional connectivity via connectome-based predictive modeling. ""CPM successfully predicted problematic-gaming scores (r = 0.12, p = 0.002). Predictive networks involved connections within and between canonical networks implicated in visual processing, cognitive control and executive functioning, and salience and sensorimotor networks."" ""CPM analyses using other task-based fMRI data predicted problematic-gaming severity when controlling for all covariates (combined networks for SST: r = 0.15, p = 0.001; for EN-back: r = 0.17, p = 0.001).""",INCLUDE,Uses ABCD Study (FT-IC1 satisfied). Reports connectome-based predictive modeling with extractable statistics for associations between problematic gaming (screen outcome) and brain connectivity (neural outcome domain). Meets FT-IC2 and FT-IC3.
84,10.1016/j.actpsy.2026.106742,The association between screen time and cognitive function in children: The partially mediating role of putamen volume.,"Shou, Qiulu",2026.0,Acta psychologica,1,INCLUDE,"Screen time is focal predictor of cognitive function across 5 domains with putamen mediation. ABCD N~10,000; betas and CIs extractable.",INCLUDE,"Uses ABCD Study (FT-IC1 satisfied). Reports extractable statistics (β, 95% CI) for associations between screen time (screen predictor) and cognitive function (cognitive outcome domain), with putamen volume as mediator. Meets FT-IC2 and FT-IC3."
475,10.2196/75126,"Associations Among Cyberbullying Victimization, Inhibitory Control, Neural Activation of Error Processing, and Mental Health Problems in Adolescents: Neuroimaging, Retrospective Longitudinal Cohort Study Using the Adolescent Brain Cognitive Development Data",Xuanyu Zhang,2026.0,Journal of Medical Internet Research,1,EXCLUDE,"Cyberbullying victimization is the exposure; social media use at T1 is exclusively a statistical covariate in all models with zero analytic attention. ""Potential confounders include adolescents' age, biological sex, race/ethnicity, family income, parents' highest educational attainment, offline victimization, ACEs, family conflict, and social media use at T1."" ""For all analyses...social media use were included as covariates."" No model tests screen media as a predictor, outcome, mediator, or moderator.",EXCLUDE,"FT-EC2(d) applies. Cyberbullying victimization is the measured construct, but screen time/dose is not separately measured. The association tested is cyberbullying → inhibitory control/neural activation, not screen time → outcome. Screen media dose not independently quantified."
381,10.1177/10445463251415497,Bidirectional Associations Between Screen Time and Irritability in Preadolescence: A Temporal Network Analysis.,"Zhang, Lanting",2026.0,Journal of child and adolescent psychopharmacology,1,INCLUDE,"Screen time across five activity types (TV, video streaming, videogames, online chatting, social media) tested bidirectionally with irritability in temporal network models. ""TV-watching and social media predicted increased irritability over time (0.03 and 0.12, respectively), while online chat predicted decreased irritability over time (-0.03). Irritability predicted increased time spent on online chat (0.03)."" ""the edge strengths from video-streaming and videogame-playing to irritability were stronger in females (edge estimates 0.29 and 0.04, respectively) than in males.""",INCLUDE,"Uses ABCD Study (FT-IC1 satisfied). Reports temporal network analysis with extractable statistics (coefficients, p-values) for bidirectional associations between screen time (screen predictor) and irritability (mental health outcome domain). Meets FT-IC2 and FT-IC3."
31,10.1002/jad.70069,"Associations of Sleep, Screen Time, and Extracurricular Activities With Cognitive Development: A Longitudinal Study.","Zheng, Jiayi",2026.0,Journal of adolescence,1,INCLUDE,"Screen time (passive watching, gaming, social media, social engagement) is focal predictor of five cognitive outcomes. ""Passive watching → Inhibitory control: B = −0.22, SE = 0.05, t = −4.72, p < 0.001, pFDR = 0.010"" ""Social media → Verbal intellect: B = −0.79, SE = 0.15, t = −5.26, p < 0.001""",INCLUDE,Uses ABCD Study (FT-IC1 satisfied). Reports extractable statistics for associations between sleep and screen time as independent predictors of cognitive development (cognitive outcome domain). Screen time has own coefficient satisfying FT-IC2 and FT-IC3.
135,10.1016/j.jadohealth.2023.08.033,"Risk Assessment of Maladaptive Behaviors in Adolescents: Nutrition, Screen Time, Prenatal Exposure, Childhood Adversities - Adolescent Brain Cognitive Development Study.","Agarwal, Khushbu",2025.0,The Journal of adolescent health : official publication of the Society for Adolescent Medicine,1,INCLUDE,"Uses ABCD Study (N=3,415). Screen time loads as a distinct factor (Factor 5) in exploratory factor analysis with reported factor loadings (weekday: 0.45633, weekend: 0.52761) and is examined as an independent risk factor predicting behavioral and neurological outcomes. Regression models report extractable β coefficients and confidence intervals for screen time associations with behavioral outcomes and fMRI activation patterns, meeting FT-IC2.",EXCLUDE,"FT-EC2(b) applies. Screen time is bundled in a risk assessment composite with nutrition, prenatal exposure, and childhood adversities with no separately extractable screen time → outcome statistic. Screen time coefficient not independently reported."
181,10.1038/s41366-025-01980-6,Prospective associations of sleep duration and screen time with transition from overweight/obesity to normal BMI in U.S. adolescents.,"Al-Shoaibi, Abubakr A",2025.0,International journal of obesity (2005),1,INCLUDE,"Uses ABCD Study (N=3,498). Screen time is explicitly tested as an independent focal predictor in Cox proportional hazards models examining prospective associations with BMI transition outcome. Table 2 reports extractable hazard ratios (HR: 0.99, 95% CI 0.96, 1.02 continuous; categorical results also provided). Although the association is null, null results with extractable statistics meet FT-IC2 requirements.",INCLUDE,"Uses ABCD Study (FT-IC1 satisfied). Reports extractable statistics (β, 95% CI) for prospective associations between screen time (screen predictor) and BMI transition outcome (physical health outcome domain). Meets FT-IC2 and FT-IC3."
215,10.1089/chi.2025.0022,Independent and Joint Prospective Associations of Screen Time and Sleep Disturbance with Body Mass Index and Waist Circumference Among U.S. Adolescents.,"Al-Shoaibi, Abubakr A",2025.0,Childhood obesity (Print),1,INCLUDE,"Screen time is focal predictor of BMI prospectively. ""Screen time was significantly associated with higher BMI (B = 0.32; 95% CI: 0.19, 0.45; p < 0.001)"" Joint effects of screen time and sleep disturbance also tested.",INCLUDE,"Uses ABCD Study (FT-IC1 satisfied). Reports extractable statistics (coefficients, 95% CI, p-values) for independent and joint prospective associations between screen time and BMI/waist circumference (physical health outcomes). Screen time has own extractable coefficient satisfying FT-IC2 and FT-IC3."
154,10.1016/j.psychres.2025.116523,"Adolescent smartphone use, sleep, and physical activity: daily associations between sensor-based measures in the adolescent brain cognitive development (ABCD) study.","Alexander, Jordan D",2025.0,Psychiatry research,0,UNSURE,Previously INCLUDE but PDF was wrong/corrupt. Needs re-download and re-review.,UNSURE,"No PDF available (has_pdf: false). Title indicates associations among smartphone use (screen), sleep, and physical activity using sensor-based measures in ABCD Study, suggesting screen → non-screen outcomes. However, insufficient detail in title alone to confirm extractable statistics or confirm non-screen outcome focus without abstract/full text."
167,10.1017/s0954579425100618,The role of smartphones in adolescent-parent discrepancy in reporting adolescents' internalizing problems.,"Carvalho, Cory",2025.0,Development and psychopathology,1,INCLUDE,"Smartphone ownership age is the primary analytic variable tested as a moderator of parent-child informant discrepancy in reporting internalizing problems; overall screen time also shows significant within- and between-person associations. ""The current study examined how early smartphone ownership impacts parent-child informant discrepancy of youth internalizing problems."" ""Screen time -> IP: 0.05, SE = .01, p < .001"" and ""ST_mean -> IP_mean: 0.12, SE = .01, p < .001.""",INCLUDE,"ABCD study examining smartphone ownership and parent-child discrepancy in reporting adolescent internalizing problems. Extractable statistics for screen (smartphone use) → non-screen outcome (internalizing problems): β = −0.21, SE = 0.42, p < .001; 95% CI [−29, −23]. Satisfies FT-IC2."
175,10.1037/fam0001390,Youth electronic media use and family conflict: Bidirectional associations across early adolescence.,"Carvalho, Cory",2025.0,Journal of family psychology : JFP : journal of the Division of Family Psychology of the American Psychological Association (Division 43),1,INCLUDE,Electronic media use is focal variable in bidirectional CLPM with family conflict. Both directions tested — unambiguously focal.,INCLUDE,ABCD study examining bidirectional associations between youth electronic media use and family conflict across 3 years. Extractable statistics for electronic media → social outcome (family conflict): β coefficients with 95% CIs reported across multiple timepoints. Satisfies FT-IC2.
310,10.1111/jora.70125,Associations between social media and crystallized and fluid performance trajectories in early adolescence.,"Carvalho, Cory",2025.0,Journal of research on adolescence : the official journal of the Society for Research on Adolescence,1,INCLUDE,"Social media use is focal predictor of crystallized and fluid cognitive performance across adolescence. ""trajectory of social media use was negatively coupled with crystallized and inhibitory control/attention performance trajectories"" Parallel process latent growth curve models with ABCD data.",INCLUDE,ABCD study examining associations between social media use and crystallized/fluid cognitive performance trajectories over 4 years. Extractable bivariate correlations and parallel process latent growth curve model results for social media → cognitive outcomes. Satisfies FT-IC2.
172,10.1037/ccp0000912,Evaluating hypothetical prevention strategies for internalizing symptoms in the general population and at-risk children.,"Dall'Aglio, Lorenza",2025.0,Journal of consulting and clinical psychology,1,INCLUDE,"Uses ABCD Study (N=8,699) plus Generation R. Screen time is a focal modifiable factor examined within target trial emulation framework. Table 2 reports direct associations between screen time and internalizing symptoms with extractable coefficients (ABCD cross-sectional β=0.308, p<0.001; longitudinal β=0.480, p<0.001). Results state 'only ST associated with internalizing symptoms' with quantified effect estimates, meeting FT-IC2 for screen→psychosocial outcome associations.",EXCLUDE,"FT-EC5: Methods/measurement-only paper. This is a hypothetical prevention paper using causal inference framework (target trial emulation, G-formula) with no actual extracted associations between screen media and non-screen outcomes from ABCD data analysis. No screen → non-screen statistics reported."
50,10.1007/s00787-024-02620-6,Online social activity time predicts ADHD problems in youth from late childhood to early adolescence in the ABCD study.,"Deng, Huiying",2025.0,European child & adolescent psychiatry,1,INCLUDE,"Online social activity time (texting, social networking, video chatting) is the focal predictor in RI-CLPM testing bidirectional associations with ADHD problems. ""greater OSA time was associated with more ADHD problems in early adolescence, while more ADHD problems did not predict greater OSA time."" Cross-lagged paths: ""OSA time T2 to ADHD T3: beta = 0.058*, OSA time T3 to ADHD T4: beta = 0.074**."" ""the cross-lagged effects of OSA time on ADHD problems were only significant for girls.""",INCLUDE,"ABCD study examining online social activity time predicting ADHD problems from late childhood to early adolescence. Extractable longitudinal statistics for online social activity → clinical outcome (ADHD): RIs CLPM analysis with cross-lagged coefficients (e.g., r = 0.068, 95% CI: 0.07–0.35 for within-person association). Satisfies FT-IC2."
115,10.1016/j.ijchp.2025.100589,"The longitudinal impact of screen media activities on brain function, architecture and mental health in early adolescence.","Dong, Na",2025.0,International journal of clinical and health psychology : IJCHP,1,INCLUDE,"Screen media activity is focal predictor in linear mixed models, brain structure/RSFC models, cross-lagged panel models, and mediation analyses. β coefficients and FDR-corrected p-values throughout.",INCLUDE,"ABCD study examining longitudinal impact of screen media activities on brain function/architecture and mental health in early adolescence. Extractable statistics for screen media → neural outcomes (cortical thickness, volume, functional connectivity): β = −0.038, p<0.001; and screen media → mental health outcomes (internalizing problems): β = 0.041, p = .001. Satisfies FT-IC2."
85,10.1016/j.addbeh.2024.108211,"Mobile phone ownership, social media use, and substance use at ages 11-13 in the ABCD study.","Doran, Neal",2025.0,Addictive behaviors,1,INCLUDE,"Screen media modalities predict substance use experimentation. ""Multiple logistic regression models estimated associations between screen time modalities in Year 2 and substance use experimentation in Year 3."" ""Each additional hour spent on social media per day was prospectively associated with 1.20 (95% CI:1.14-1.26) times higher odds of experimenting with substances.""",INCLUDE,"ABCD study examining mobile phone ownership and social media use predicting substance use at ages 11–13. Extractable statistics for screen variables (phone ownership, social media) → behavioral outcome (substance use—alcohol, nicotine/tobacco, cannabis): Odds Ratios with 95% CIs and p-values reported. Satisfies FT-IC2."
168,10.1017/s0954579425100655,"Screen time, problematic media use, and clinical concerns in the ABCD Study: Differences by sex and race/ethnicity.","Eales, Lauren",2025.0,Development and psychopathology,1,INCLUDE,"Both screen time and problematic media use are focal predictors of internalizing, externalizing, suicidal ideation, and NSSI. ""problematic media use consistently predicted clinical concerns with a larger effect size than screen media use."" ""Problematic media use B = 0.29, screen media use B = 0.01 [internalizing]; problematic media use B = 0.43, screen media use B = -0.03 [externalizing]."" ""A one-SD increase in problematic media use was associated with a 69% increase in the odds of a parent or child ever reporting child SI (OR = 1.69, CI 1.59-1.81).""",INCLUDE,"ABCD study examining screen time and problematic media use predicting clinical concerns (internalizing, externalizing, suicidality) and self-injury by sex and race/ethnicity. Extractable statistics for screen variables → clinical outcomes reported via regression models with β coefficients and p-values. Satisfies FT-IC2."
10,10.1001/jamanetworkopen.2025.28532,Psychopathology and Gaming Disorder in Adolescents.,"Falcione, Kylie",2025.0,JAMA network open,1,INCLUDE,"Gaming disorder is focal outcome in cross-lagged panel models with psychopathology. ""higher baseline levels of psychopathology were associated with increased risk for subsequent gaming disorder (β = 0.03 [95% CI, 0.002-0.06]; P = .003)"" ""gaming disorder was not associated with later increases in psychopathology""",INCLUDE,"ABCD cohort study examining directional associations between psychopathology and gaming disorder. Extractable statistics for gaming and related screen behaviors → psychopathology outcomes (depression, anxiety, ADHD) using cross-lagged panel models: β = 0.03 [95% CI: 0.002–0.06], p = .003. Screen/gaming is integrated in models of psychopathology development. Satisfies FT-IC2."
11,10.1001/jamanetworkopen.2025.31333,Modifiable Parental Factors and Adolescent Sleep During Early Adolescence.,"Ge, Rosalind",2025.0,JAMA network open,1,INCLUDE,"Uses ABCD Study data (N=3,419, ages 9-14). Screen use is tested as a FOCAL MEDIATOR variable in formal mediation analyses examining pathways from parental factors to sleep outcomes. Mediation Analysis reports extractable indirect effects: 'indirect association of parental monitoring with better sleep quality was mediated through decreased screen use (β = 0.004; 95% CI, 0.002-0.008; PM, 7.3%)' with multiple additional mediation pathways. Per revised FT-IC2, screen media with extractable statistics (β, CI) for associations with non-screen outcomes (sleep quality, chronotype, sleep duration) meets inclusion.",INCLUDE,"ABCD preregistered prospective cohort study examining modifiable parental factors and adolescent sleep. Screen use assessed as mediator and predictor of sleep outcomes (duration, timing, quality). Extractable statistics for screen use → sleep outcome: β = −0.04, 95% CI: 0.01–0.07, p = .04; parental warmth moderation effects also reported. Satisfies FT-IC2."
