row_id,doi,pmid,pmid_lookup_status,abstract_text,abstract_retrieval_status,abstract_word_count,coder,date_coded,notes
11,10.1176/appi.ajp.20240735,40432344,found,"There is a burgeoning crisis of suicide beleaguering Black youth, and particularly Black girls, in the U.S. Despite this, few studies have dually investigated racial and gender health disparities in adolescent suicidality (ideation and attempt). In this study, we sought to characterize rates of suicidal ideation and suicide attempts amongst Black and White youth—spanning from early to late adolescence—in three large independent U.S. cohorts. Our analyses revealed that across all three cohorts, despite differences in age and ascertainment methods, Black girls experienced the highest rates of suicidal ideation and suicide attempts in comparison to Black boys, White girls, and White boys. As Black girls have been historically underserved by the psychiatric field, it is of critical importance that clinicians be attentive to these emergent trends. Further research is needed to discern the structural barriers and mechanisms that confer risk to this population and to inform suicide prevention efforts.",retrieved,148,AI,2026-03-24,
12,10.1016/j.dcn.2025.101572,40479751,found,"Parental history of problematic substance use (PH) increases the risk for early adolescent substance use (SU), potentially due to premorbid differences in reward-processing brain regions (e.g., striatum). However, no studies have prospectively examined the separate contributions of parental history of alcohol (PHA) and drug (PHD) use or the impact of PH density (PH0, PH1, PH2) on reward processing in preadolescents. This study analyzed data from 10,235 participants (ages 9-14) in the Adolescent Brain Cognitive Development StudySM (ABCD). Reward processing was assessed using the Monetary Incentive Delay Task (MID) at baseline and two-year follow-up. Regions of interest included bilateral striatal activation elicited by neutral vs. anticipation of large rewards. Linear mixed-effect models evaluated PH, PHA, PHD, and PH density on ROI activation, controlling for relevant covariates. Results showed that youth with PHA1 had greater nucleus accumbens activation during reward anticipation than those with no history (PHA0), but no significant differences were found between PHA2 and PHA1 or PHA2 and PHA0. PHD and PH were not significantly associated with BOLD activation in striatal regions, nor were there changes over time. These findings highlight the need to consider both PH and environmental factors when assessing neurodevelopmental risk for early substance use.",retrieved,198,AI,2026-03-24,
13,10.3389/frcha.2025.1504323,40487008,found,"BACKGROUND: Attention-deficit/hyperactivity disorder (ADHD) is a common neurodevelopmental disorder with a complex etiology. The current diagnostic process for ADHD is often time-intensive and subjective. Recent advancements in machine learning offer new opportunities to improve ADHD diagnosis using diverse data sources. This study explores the potential of Fitbit-derived physical activity data to enhance ADHD diagnosis. METHOD: We analyzed a sample of 450 participants from the Adolescent Brain Cognitive Development (ABCD) study (data release 5.0). Correlation analyses were conducted to examine associations between ADHD diagnosis and Fitbit-derived measurements, including sedentary time, resting heart rate, and energy expenditure. We then used multivariable logistic regression models to evaluate the predictive power of these measurements for ADHD diagnosis. Additionally, machine learning classifiers were trained to automatically classify individuals into ADHD+ and ADHD- groups. RESULTS: Our correlation analyses revealed statistically significant associations between ADHD diagnosis and Fitbit-derived physical activity data. The multivariable logistic regression models identified specific Fitbit measurements that significantly predicted ADHD diagnosis. Among the machine learning classifiers, the Random Forest outperformed others with cross-validation accuracy of 0.89, AUC of 0.95, precision of 0.88, recall of 0.90, F1-score of 0.89, and test accuracy of 0.88. CONCLUSION: Fitbit-derived measurements show promise for predicting ADHD diagnosis, with machine learning classifiers, particularly Random Forest, demonstrating high predictive accuracy. These findings suggest that wearable data may contribute to more objective and efficient methods for ADHD identification, potentially enhancing clinical practices for diagnosis and management.",retrieved,235,AI,2026-03-24,
14,10.1038/s41598-025-00378-8,40399342,found,"Black and Latinx youth experience earlier pubertal timing relative to their non-stigmatized peers. Research on determinants of this increased risk has largely focused on aspects of individuals (e.g., body mass index) or their proximal environment (e.g., socioeconomic status), to the exclusion of broader macro-social factors. Using 2 years of Adolescent Brain Cognitive Development Study® data, we examined whether structural stigma (e.g., state-level policies, aggregated prejudicial attitudes) was associated with hormonal and physical markers of pubertal development. Baseline results documented earlier pubertal timing among Black girls (hormones) and Latinx girls and boys (youth and/or caregiver report) in states with higher (vs. lower) levels of structural racism and xenophobia, respectively. Observed associations were comparable in effect size to a well-established correlate of pubertal development, body mass index, and remained 1 year later among these stigmatized (vs. non-stigmatized) groups. Findings suggest the need to broaden the study of determinants of pubertal development to include macro-social factors.",retrieved,153,AI,2026-03-24,
15,10.1016/j.biopsycho.2025.109058,40409705,found,"Executive functions (EF) have been found to differentiate from a single component to three distinct components (i.e., updating, shifting, and inhibition) during development. However, there is still much debate regarding when such differentiation takes place and biological evidence is needed. Here we used the longitudinal and multimodality data from the ABCD study to address this question at two age groups (9-10 and 13-14). Three tasks (i.e., List, Card and Flanker tasks) were used to represent the three EF components respectively at baseline, and two tasks (Flanker and List) at 4th year follow up. Genes associated with each task were identified by whole genome and transcriptome association analyses and were then used for genetic similarity calculation; structural and functional brain indices related to each task were identified and used to assess neural similarity. We found that at baseline (9-10 years old), the three EF components were behaviorally highly inter-correlated and were associated with many of the same genes and the same brain regions. Four years later, the follow-up data (with Flanker and List tasks only) still showed significant but smaller behavioral/genetic/neural similarity. This study is the first to chart the path of EF differentiation during adolescence by combining behavioral, genetic, and neural data, and this approach may be relevant to the study of development of other cognitive abilities.",retrieved,217,AI,2026-03-24,
16,10. 1016/j.lana.2025. 101002,40625792,found,"BACKGROUND: Although cyberbullying has been linked with adverse health outcomes, most prior studies have been cross-sectional, and there are limited large-scale, prospective analyses examining cyberbullying and mental health and substance use outcomes in early adolescents. Therefore, the aim of this study was to determine prospective associations between cyberbullying, mental health, and substance use experimentation one year later in a US national cohort of early adolescents (11-12 years old). METHODS: We analyzed prospective cohort data from the Adolescent Brain Cognitive Development (ABCD) Study (Year 2, N = 9799). Linear and logistic regression analyses were used to determine associations between cyberbullying victimization (exposure variable, Year 2) and mental health (depressive, anxiety, attention, somatic, oppositional defiant, conduct problems, and suicidal behaviours), and substance (alcohol, nicotine, cannabis) use experimentation outcomes (Year 3), adjusting for sociodemographic variables and mental health outcomes, suicidal behaviours, or reported substance use experimentation at Year 2. FINDINGS: The total analysed sample comprised 9799 who were 48.4% female and racially/ethnically diverse (45.1% non-White). 8.7% reported lifetime cyberbullying victimization. Cyberbullying victimization was prospectively associated with higher depressive (β = 0.61, 95% CI 0.02-1.19), somatic (β = 1.00, 95% CI 0.42-1.57), and attention problems (β = 0.52, 95% CI 0.03-1.00), as well as suicidal behaviors (adjusted odds ratio [AOR] 2.62, 95% CI 1.73-3.98) one year later. Cyberbullying victimization was prospectively associated with higher odds of alcohol (AOR 1.98, 95% CI 1.53-2.57), nicotine (AOR 3.37, 95% 2.16-5.26), and cannabis (AOR 4.65, 95% 2.46-8.77) experimentation one year later. While cyberbullying victimization was associated with anxiety, oppositional defiant, and conduct problems in the unadjusted model, this was no longer significant after adjusting for covariates. INTERPRETATION: Given associations with poor mental health and substance use in early adolescents, it is important to develop interventions to prevent and reduce cyberbullying. Pediatricians, parents, and educators can provide mental health support for early adolescent victims of cyberbullying. FUNDING: This research was supported by the Bill and Melinda Gates Foundation (INV-048897). J.M.N. was funded by the National Institutes of Health (K08HL159350 and R01MH135492) and the Doris Duke Charitable Foundation (2022056).",retrieved,339,AI,2026-03-24,
17,10.1038/s44220-025-00431-5,41446723,found,"Autism Spectrum Disorder (autism) and Attention Deficit/Hyperactivity Disorder (ADHD) often co-occur, although it remains unclear if these conditions share common neurobiological foundations or exhibit distinct alterations in resting-state brain connectivity. We conducted a cross-sectional mega-analytic comparison of functional connectivity patterns linked to autism and ADHD traits in children and adolescents (ages 6-19 years; n=10,168), with follow-up analyses considering autism (n=764 autistic; n=893 neurotypical) and ADHD diagnoses (n=2,026 ADHD; n=2,409 neurotypical). In total, 12,732 unique child and adolescent participants were included: 3,528 in both analyses, 6,640 in the trait analysis only, and 2,564 in the diagnostic analysis only. Autism traits and diagnosis were associated with reduced connectivity between the thalamus, putamen, salience/ventral attention, and frontoparietal networks, while ADHD traits showed the opposite pattern. Hyperconnectivity between the default mode and dorsal attention networks was observed in both autistic and ADHD groups relative to neurotypical individuals and associated with ADHD traits. Despite frequent co-occurrence, autism and ADHD traits exhibit distinct neural signatures, with small effect sizes indicating subtle associations.",retrieved,166,AI,2026-03-24,
18,10.1162/IMAG.a.31,40800854,found,"What role do our genes play in shaping the structural organisation of the living human brain? Across a sample of 2,153 children (9-11 years old), we address this question, focusing on common genetic variants associated with cognitive ability and diffusion-based structural neuroimaging. Using polygenic scores, we test how variability in the genetic signal associated with cognitive ability is linked to simulated structural network properties, such as network efficiency. We fit a computational model to each connectome that simulates the emergence of high-level network properties. Central to the model is an economic trade-off between the ""cost"" of forming a given connection (a distance penalty) and the topological ""value"" that connection brings to the network. To simulate the network properties of those with the highest genetic propensity for cognitive ability, we had to use a significantly weakerwiring costpenalty. This softer distance penalty produces more stochastic, diverse, and efficient simulated networks. Further, those with a high genetic propensity for cognitive ability exhibited a more randomised simulated topology. Finally, we took a different approach to exploring the relationships between genes and model parameters by linking thedistributionof those parameters with post-mortem gene expression data, with a comparative pathway enrichment analysis. Across the sample, overlapping biological and cellular pathways between polygenic scores and each child's optimal cost-value trade-off emerged. Together, the generative wiring distance term, which varied maximally across participants but minimally across the cortex, was enriched for more ontologies than the wiring value term, which varied maximally across the cortex. However, the overlap in enriched ontologies between polygenic scores and the wiringvalueterm was greater than that of polygenic scores and the wiringdistanceterm. This application of computational modelling demonstrates that the underlying economic trade-offs needed to simulate the higher-order topological properties of networks vary according to genetic propensity for cognitive ability.",retrieved,295,AI,2026-03-24,
19,10.1038/s41390-025-04086-x,40382469,found,"BACKGROUND: While breastfeeding benefits early child neurocognition, its influences into adolescence, a period of intense brain remodeling and heightened mental health risk, remain unclear. METHODS: Breastfeeding and neurocognitive longitudinal associations were explored over a two-year period in the Adolescent Brain Cognitive Development (ABCD) Study® (nbaseline = 5098, ages 9-10, 49% female; nfollow-up = 3810, ages 11-12, 48% female). Breastfeeding duration was reported as never breastfed (15.8%), 1-6 months (34.6%), 7-12 months (26.4%), and >12 months (23.1%). MRI-derived estimates of cortical thickness, surface area, and cortical myelin were calculated across 148 brain regions alongside fluid cognition measures. Linear mixed-effects models tested the influence of breastfeeding duration and its interaction with age on neurocognitive outcomes. Significant cortical thickness and surface area associations were explored for cortical myelin differences. Parallel mediation analyses examined whether cortical features mediated the breastfeeding-fluid cognition relationship. RESULTS: Breastfeeding duration was positively associated with cortical thickness (31 regions), surface area (45 regions), and fluid cognition (all p values < 0.05), and with greater cortical myelin in four regions and increases by follow-up in 12 regions (all p values < 0.05). Surface area mediated the breastfeeding-fluid cognition link (β = 0.008, CIboot95% = 0.005, 0.012). CONCLUSIONS: These findings emphasize the importance of extending breastfeeding practices for optimal adolescent neurocognition. IMPACT: Does breastfeeding influence neurocognition during early adolescence, and does it impact neurocognitive development at this stage? In this longitudinal study, breastfeeding demonstrated dose-dependent, lasting positive influences on neurocognition that remained stable over a 2-year period spanning late childhood to early adolescence. Specifically, individuals who were breastfed longer showed increased cortical thickness, surface area, cortical myelin, and fluid cognition, predictors of positive outcomes in later life, including physical and mental health. Our findings highlight the importance of breastfeeding and support its extended practice for optimal neurodevelopment and potential late-life benefits.",retrieved,299,AI,2026-03-24,
20,10.1016/j.jadohealth.2025.03.014,40382724,found,"PURPOSE: To assess longitudinal and geographic variation in perceived discrimination from ages 10-11 to 13-14 years in the Adolescent Brain Cognitive Development cohort, and to examine how these experiences are shaped by contextual factors such as neighborhood segregation and state-level racial bias. METHODS: Data were drawn from the longitudinal Adolescent Brain Cognitive Development Study (release 5.1), analyzing years 1, 2, and 4, corresponding to approximate ages 10-11, 11-12, and 13-14 years. Perceived discrimination was assessed using items adapted from the Perceived Discrimination Scale. Mixed-effects logistic regression models examined how perceived discrimination varied across time, demographic factors, and contextual variables, with models weighted using American Community Survey raked propensity scores to ensure national representativeness. RESULTS: Black, Asian American and Pacific Islander, and Other/Multiracial non-Hispanic youth showed increasing trajectories of perceived discrimination over time, while Native American and White non-Hispanic youth exhibited decreasing trends. Significant geographic variation emerged, with Black youth reporting elevated discrimination across all regions, particularly in the West and South. Youth living in areas with concentrated poor Black households and in states with high anti-Black bias reported higher discrimination. Youth with immigrant backgrounds generally reported higher levels of perceived discrimination across most racial/ethnic groups. DISCUSSION: Perceived discrimination follows distinct developmental trajectories during early adolescence that vary significantly by race, ethnicity, geography, and structural context. These findings highlight the critical need for targeted interventions during this developmental period, particularly for Black, Asian American and Pacific Islander, and Other/Multiracial youth. Context-specific approaches to addressing racism are essential for mitigating its harmful effects on adolescent development.",retrieved,254,AI,2026-03-24,
21,10.1038/s41398-025-03384-6,40379614,found,"Early life adversity (ELA) is highly prevalent and has significant detrimental effects on children's brain development and behavioral outcomes. However, associations of threat, unpredictability, and deprivation in dimensional models of ELA with corticolimbic circuits were unclear. Previous studies have highlighted the effects of proximity, especially the distinctions between interpersonal and socioeconomic ELA, on children's neurodevelopment. This study first examined the associations between multiple ELA categories (i.e., interpersonal threat, socioeconomic threat, interpersonal unpredictability, socioeconomic unpredictability, interpersonal deprivation, and socioeconomic deprivation) and the developmental changes in resting-state functional connectivity (rsFC) of the frontolimbic and temporal-limbic circuits implicated in cognition and psychopathology, using data from the Adolescent Brain Cognitive Development (ABCD) study, which included four measurements from baseline (mean ± SD age, 119.13 ± 7.51 months; 2815 females) to 3-year follow-up (N = 5885). Controlling for concurrent ELA categories, interpersonal unpredictability and socioeconomic deprivation were associated with accelerated development of rsFC between CON/RTN-amygdala/hippocampus (Cingulo-opercular Network, Retrosplenial Temporal Network). Compared to girls, boys' corticolimbic circuits development was more sensitive to interpersonal threat. Changes in rsFC mediated the associations between interpersonal unpredictability/socioeconomic deprivation with decreased crystallized cognition, fluid cognition, and internalizing problems. Additionally, socioeconomic deprivation was associated with decreased crystallized cognition through interpersonal unpredictability and changes in rsFC between CON and bilateral amygdala/right hippocampus. This study emphasized interpersonal unpredictability and socioeconomic deprivation as key environmental factors affecting corticolimbic circuit development implicated in cognition and psychopathology. Stable family environments and enriched neighborhoods are crucial for supporting optimal neural and behavioral development in children and adolescents.",retrieved,249,AI,2026-03-24,
22,10.1016/j.jaac.2025.05.005,40383189,found,"OBJECTIVE: Immigrant youth comprise a large population in the United States, yet there are limited studies characterizing mental health and unique individual-level risk and protective factors in early adolescent immigrants. Previous studies revealed variable associations between immigration and psychopathology. This study aimed to characterize minority stressors, protective factors, and mental health among adolescent immigrants. METHOD: Data from the Adolescent Brain Cognitive Development (ABCD) Study (N = 10,310, mean age = 12.9 years, 52.3% boys) were analyzed, including 227 first-generation immigrant youth (G1, foreign-born), 1,033 second-generation immigrant youth (G2, US-born, both parents born outside United States), 489 third-generation immigrant youth (G3, youth and parents US-born, ≥2 grandparents born outside United States), and 8,561 nonimmigrant youth as controls. Exposure to immigration-related risk and protective factors was compared, with linear mixed-effects models used to test associations between immigration and its related risk and protective factors (independent variables) with self-reported psychopathology (dependent variable), adjusting for demographics. RESULTS: Compared with nonimmigrant youth, G1 and G2 youth experienced more immigration-related stressors (discrimination against country of origin, internalized rejection by Americans) and identified less with American culture, yet showed no differences in psychopathology. G1 and G2 youth reported greater identification with their heritage culture, which was associated with less psychopathology. G3 youth were overall similar to controls in all measures. Findings were generally consistent across racial and ethnic groups and when using parent-report psychopathology. CONCLUSION: Early adolescent first- and second-generation immigrants have resilient mental health despite greater exposure to minority stressors. Findings suggest that strong heritage and American cultural identity may be key resilience factors among US immigrant youth.",retrieved,262,AI,2026-03-24,
23,10.1038/s41467-025-59110-9,40368909,found,"Cerebral asymmetry, fundamental to various cognitive functions, is often disrupted in neuropsychiatric disorders. While brain growth has been extensively studied, the maturation of brain asymmetry in children and the factors influencing it in adolescence remain poorly understood. We analyze longitudinal data from 11,270 children aged 10-14 years in the Adolescent Brain Cognitive Development (ABCD) study. Our analysis maps the developmental trajectory of structural brain asymmetry. We identify significant age-related, modality-specific development patterns. These patterns link to crystallized intelligence and mental health problems, but with weak correlations. Genetically, structural asymmetry relates to synaptic processes and neuron projections, likely through asymmetric synaptic pruning. At the microstructural level, corpus callosum integrity emerged as a key factor modulating the developing asymmetry. Environmentally, favorable perinatal conditions were associated with prolonged corpus callosum development, which affected future asymmetry patterns and cognitive outcomes. These findings underscore the dynamic yet predictable interactions between brain asymmetry, its structural determinants, and cognitive and psychiatric outcomes during a pivotal developmental stage. Our results provide empirical support for the adaptive plasticity theory in cerebral asymmetry and offer insights into both cognitive maturation and potential risk for early-onset mental health problems.",retrieved,188,AI,2026-03-24,
